# Great Lakes Diversion Flows
# Units: cms
# Diversion flows copied from H&H/GL_H&HData & Reports/Flows/GLDiversions,1900-present.xls on 8/3/2015
# Coordinated through 2008
#missing data filled in
#
"Year","Month","Monthly Mean"
2010,2,200
2010,3,220
2010,4,220
2010,5,230
2010,6,180
2010,7,240
2010,8,210
2010,9,220
2010,10,210
2010,11,180
2010,12,220
2011,1,210
2011,2,210
2011,3,230
2011,4,240
2011,5,240
2011,6,240
2011,7,260
2011,8,220
2011,9,250
2011,10,250
2011,11,220
2011,12,260
2012,1,210
2012,2,210
2012,3,240
2012,4,250
2012,5,260
2012,6,250
2012,7,250
2012,8,220
2012,9,220
2012,10,160
2012,11,150
2012,12,180
2013,1,190
2013,2,180
2013,3,200
2013,4,230
2013,5,240
2013,6,200
2013,7,170
2013,8,130
2013,9,100
2013,10,220
2013,11,210
2013,12,160
2014,1,180
2014,2,190
2014,3,230
2014,4,240
2014,5,140
2014,6,150
2014,7,250
2014,8,250
2014,9,270
2014,10,260
2014,11,230
2014,12,260
2015,1,190
2015,2,190
2015,3,240
2015,4,250
2015,5,260
2015,6,240
2015,7,240
2015,8,240
2015,9,270
2015,10,260
2015,11,230
2015,12,250
2016,1,200
2016,2,190
2016,3,220
2016,4,250
2016,5,260
2016,6,230
2016,7,260
2016,8,240
2016,9,240
2016,10,260
2016,11,150
2016,12,170
2017,1,140
2017,2,150
2017,3,140
2017,4,160
2017,5,120
2017,6,170
2017,7,150
2017,8,170
2017,9,140
2017,10,170
2017,11,150
2017,12,170
2018,1,160
2018,2,150
2018,3,170
2018,4,170
2018,5,180
2018,6,180
2018,7,150
2018,8,180
2018,9,190
2018,10,160
2018,11,140
2018,12,160
2019,1,150
2019,2,150
2019,3,160
2019,4,160
2019,5,170
2019,6,160
2019,7,180
2019,8,190
2019,9,250
2019,10,230
2019,11,260
2019,12,150
2020,1,210
2020,2,210
2020,3,220
2020,4,270
2020,5,270
2020,6,240
2020,7,270
2020,8,250
2020,9,260
2020,10,270
2020,11,260
2020,12,270
2021,1,220
2021,2,200
2021,3,250
2021,4,270
2021,5,260
2021,6,240
2021,7,270
2021,8,230
2021,9,210
2021,10,240
2021,11,250
2021,12,230
2022,1,200
2022,2,170
2022,3,230
2022,4,250
2022,5,260
2022,6,230
2022,7,260
2022,8,190
2022,9,240
2022,10,260
2022,11,260
2022,12,240
2023,1,240
2023,2,240
2023,3,210
2023,4,200
2023,5,230
2023,6,240
2023,7,260
2023,8,220
2023,9,160
2023,10,150
2023,11,150
2023,12,160
2024,1,140
2024,2,140
2024,3,140
2024,4,160
2024,5,160
2024,6,160
2024,7,160
2024,8,120
2024,9,160
2024,10,150
2024,11,210
2024,12,240
2025,1,200
2025,2,190
2025,3,210
2025,4,200
2025,5,230
2025,6,190
2025,7,240
2025,8,230
2025,9,260
2025,10,220
2025,11,220
2025,12,220
2026,1,200
2026,2,200
2026,3,230
2026,4,260
2026,5,200
2026,6,200
2026,7,200
2026,8,200
2026,9,200
2026,10,200
2026,11,200
2026,12,200
