# St.Lawrence River Monthly Flow
# Units = cms
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2024-01-11 11:03:24 by JKP
#
"Year","Month","St.Lawrence(SFD+ADVM)","St.Lawrence (Coordinated)"
1956,5,7820,7820
1956,6,7990,7990
1956,7,7760,7760
1956,8,7500,7500
1956,9,7360,7360
1956,10,6990,6990
1956,11,6800,6800
1956,12,6680,6680
1957,1,6510,6510
1957,2,6480,6480
1957,3,6630,6630
1957,4,6820,6820
1957,5,6940,6940
1957,6,6990,6990
1957,7,7020,7020
1957,8,6850,6850
1957,9,6630,6630
1957,10,6340,6340
1957,11,6170,6170
1957,12,6060,6060
1958,1,6200,6200
1958,2,6000,6000
1958,3,6030,6030
1958,4,6510,6510
1958,5,6480,6480
1958,6,6510,6510
1958,7,6430,6430
1958,8,6310,6310
1958,9,6200,6200
1958,10,6090,6090
1958,11,5860,5860
1958,12,5920,5920
1959,1,5040,5040
1959,2,5380,5380
1959,3,5750,5750
1959,4,6990,6990
1959,5,7450,7450
1959,6,7450,7450
1959,7,7140,7140
1959,8,6540,6540
1959,9,6200,6200
1959,10,5920,5920
1959,11,5950,5950
1959,12,6060,6060
1960,1,6030,6030
1960,2,6140,6140
1960,3,6430,6430
1960,4,6990,6990
1960,5,7620,7620
1960,6,8210,8210
1960,7,7790,7790
1960,8,7420,7420
1960,9,6630,6630
1960,10,5780,5780
1960,11,5860,5860
1960,12,5950,5950
1961,1,5970,5970
1961,2,6030,6030
1961,3,5920,5920
1961,4,6200,6200
1961,5,7080,7080
1961,6,7900,7900
1961,7,7560,7560
1961,8,7160,7160
1961,9,6990,6990
1961,10,6540,6540
1961,11,6120,6120
1961,12,6060,6060
1962,1,5970,5970
1962,2,5920,5920
1962,3,5780,5780
1962,4,5410,5410
1962,5,5580,5580
1962,6,6030,6030
1962,7,6060,6060
1962,8,6140,6140
1962,9,6120,6120
1962,10,5970,5970
1962,11,5890,5890
1962,12,5970,5970
1963,1,5950,5950
1963,2,5890,5890
1963,3,5580,5580
1963,4,5380,5380
1963,5,5320,5320
1963,6,5830,5830
1963,7,6060,6060
1963,8,6140,6140
1963,9,6000,6000
1963,10,6000,6000
1963,11,5800,5800
1963,12,5950,5950
1964,1,5970,5970
1964,2,5830,5830
1964,3,5470,5470
1964,4,5070,5070
1964,5,5210,5210
1964,6,5550,5550
1964,7,5690,5690
1964,8,5860,5860
1964,9,5860,5860
1964,10,5800,5800
1964,11,5660,5660
1964,12,5470,5470
1965,1,5180,5180
1965,2,5150,5150
1965,3,5100,5100
1965,4,5210,5210
1965,5,4980,4980
1965,6,5350,5350
1965,7,5690,5690
1965,8,5830,5830
1965,9,5750,5750
1965,10,5750,5750
1965,11,5950,5950
1965,12,6430,6430
1966,1,6290,6290
1966,2,6290,6290
1966,3,6630,6630
1966,4,6630,6630
1966,5,6000,6000
1966,6,6000,6000
1966,7,6200,6200
1966,8,6230,6230
1966,9,6260,6260
1966,10,6120,6120
1966,11,6000,6000
1966,12,6140,6140
1967,1,6200,6200
1967,2,6460,6460
1967,3,6090,6090
1967,4,6000,6000
1967,5,6200,6200
1967,6,6170,6170
1967,7,6400,6400
1967,8,6600,6600
1967,9,6570,6570
1967,10,7050,7050
1967,11,7840,7840
1967,12,7960,7960
1968,1,6820,6820
1968,2,7050,7050
1968,3,6710,6710
1968,4,7420,7420
1968,5,6970,6970
1968,6,6710,6710
1968,7,7160,7160
1968,8,7420,7420
1968,9,7650,7650
1968,10,7420,7420
1968,11,7190,7190
1968,12,7110,7110
1969,1,6650,6650
1969,2,7160,7160
1969,3,7220,7220
1969,4,7480,7480
1969,5,7820,7820
1969,6,8240,8240
1969,7,8410,8410
1969,8,8350,8350
1969,9,7840,7840
1969,10,7220,7220
1969,11,7020,7020
1969,12,6880,6880
1970,1,6460,6460
1970,2,6650,6650
1970,3,6650,6650
1970,4,6680,6680
1970,5,7050,7050
1970,6,7050,7050
1970,7,7250,7250
1970,8,7500,7500
1970,9,7310,7310
1970,10,7450,7450
1970,11,7500,7500
1970,12,7330,7330
1971,1,6680,6680
1971,2,7020,7020
1971,3,7450,7450
1971,4,7670,7670
1971,5,8070,8070
1971,6,7730,7730
1971,7,7390,7390
1971,8,7330,7330
1971,9,7450,7450
1971,10,7330,7330
1971,11,6990,6990
1971,12,6650,6650
1972,1,6290,6290
1972,2,6540,6540
1972,3,7190,7190
1972,4,7730,7730
1972,5,8240,8240
1972,6,8500,8500
1972,7,8780,8780
1972,8,8780,8780
1972,9,8780,8780
1972,10,8550,8550
1972,11,8300,8300
1972,12,7650,7650
1973,1,7140,7140
1973,2,7900,7900
1973,3,8470,8470
1973,4,9200,9200
1973,5,9540,9540
1973,6,9910,9910
1973,7,9910,9910
1973,8,9150,9150
1973,9,8980,8980
1973,10,8670,8670
1973,11,8330,8330
1973,12,7530,7530
1974,1,6800,6800
1974,2,7500,7500
1974,3,8550,8550
1974,4,8780,8780
1974,5,8720,8720
1974,6,9260,9260
1974,7,9510,9510
1974,8,9340,9340
1974,9,8890,8890
1974,10,8580,8580
1974,11,7840,7840
1974,12,7990,7990
1975,1,7250,7250
1975,2,7080,7080
1975,3,8180,8180
1975,4,8520,8520
1975,5,8670,8670
1975,6,8720,8720
1975,7,8210,8210
1975,8,8010,8010
1975,9,7960,7960
1975,10,8180,8180
1975,11,8130,8130
1975,12,7450,7450
1976,1,6990,6990
1976,2,7390,7390
1976,3,8210,8210
1976,4,8670,8670
1976,5,9290,9290
1976,6,9850,9850
1976,7,9910,9910
1976,8,9230,9230
1976,9,8750,8750
1976,10,8550,8550
1976,11,8410,8410
1976,12,6770,6770
1977,1,6290,6290
1977,2,6090,6090
1977,3,6990,6990
1977,4,7820,7820
1977,5,7930,7930
1977,6,7450,7450
1977,7,7080,7080
1977,8,7360,7360
1977,9,7840,7840
1977,10,8500,8500
1977,11,8380,8380
1977,12,7280,7280
1978,1,7050,7050
1978,2,8070,8070
1978,3,8470,8470
1978,4,8300,8300
1978,5,8920,8920
1978,6,8720,8720
1978,7,8210,8210
1978,8,7870,7870
1978,9,7760,7760
1978,10,7450,7450
1978,11,7050,7050
1978,12,6370,6370
1979,1,6260,6260
1979,2,7020,7020
1979,3,7650,7650
1979,4,8040,8040
1979,5,8210,8210
1979,6,8380,8380
1979,7,7900,7900
1979,8,7790,7790
1979,9,8010,8010
1979,10,8270,8270
1979,11,8160,8160
1979,12,8160,8160
1980,1,7160,7160
1980,2,7160,7160
1980,3,7160,7160
1980,4,7870,7870
1980,5,8380,8380
1980,6,8240,8240
1980,7,8160,8160
1980,8,8330,8330
1980,9,8520,8520
1980,10,8130,8130
1980,11,7930,7930
1980,12,7110,7110
1981,1,6680,6680
1981,2,6800,6800
1981,3,7500,7500
1981,4,7330,7330
1981,5,7020,7020
1981,6,7160,7160
1981,7,7450,7450
1981,8,7900,7900
1981,9,8380,8380
1981,10,8470,8470
1981,11,8410,8410
1981,12,8500,8500
1982,1,6800,6800
1982,2,7110,7110
1982,3,7220,7220
1982,4,7760,7760
1982,5,8160,8160
1982,6,8210,8210
1982,7,8240,8240
1982,8,7870,7870
1982,9,7700,7700
1982,10,7500,7500
1982,11,7530,7530
1982,12,7650,7650
1983,1,6570,6570
1983,2,6940,6940
1983,3,7590,7590
1983,4,7790,7790
1983,5,7960,7960
1983,6,8440,8440
1983,7,7990,7990
1983,8,7820,7820
1983,9,7840,7840
1983,10,7700,7700
1983,11,7650,7650
1983,12,7480,7480
1984,1,6740,6740
1984,2,7480,7480
1984,3,7930,7930
1984,4,7990,7990
1984,5,8690,8690
1984,6,8750,8750
1984,7,8670,8670
1984,8,8640,8640
1984,9,8440,8440
1984,10,7670,7670
1984,11,7500,7500
1984,12,7360,7360
1985,1,6480,6480
1985,2,7280,7280
1985,3,7840,7840
1985,4,8350,8350
1985,5,8440,8440
1985,6,8640,8640
1985,7,8580,8580
1985,8,8380,8380
1985,9,8380,8380
1985,10,8180,8180
1985,11,8100,8100
1985,12,7760,7760
1986,1,7020,7020
1986,2,8160,8160
1986,3,8520,8520
1986,4,8980,8980
1986,5,9370,9370
1986,6,9200,9200
1986,7,9490,9490
1986,8,9230,9230
1986,9,9230,9230
1986,10,9170,9170
1986,11,9570,9570
1986,12,9260,9260
1987,1,8470,8470
1987,2,8100,8100
1987,3,8890,8890
1987,4,8860,8860
1987,5,9320,9320
1987,6,8890,8890
1987,7,8670,8670
1987,8,8100,8100
1987,9,7790,7790
1987,10,7730,7730
1987,11,7020,7020
1987,12,7560,7560
1988,1,6740,6740
1988,2,7140,7140
1988,3,7360,7360
1988,4,7160,7160
1988,5,6740,6740
1988,6,7110,7110
1988,7,6880,6880
1988,8,6970,6970
1988,9,6880,6880
1988,10,6770,6770
1988,11,6990,6990
1988,12,6970,6970
1989,1,6060,6060
1989,2,6400,6400
1989,3,6200,6200
1989,4,5800,5800
1989,5,6460,6460
1989,6,7360,7360
1989,7,7960,7960
1989,8,7650,7650
1989,9,7420,7420
1989,10,7220,7220
1989,11,7420,7420
1989,12,6710,6710
1990,1,6870,6870
1990,2,7190,7190
1990,3,7480,7480
1990,4,7850,7850
1990,5,8170,8170
1990,6,8330,8330
1990,7,7880,7880
1990,8,7560,7560
1990,9,7380,7380
1990,10,7300,7300
1990,11,7320,7320
1990,12,7120,7120
1991,1,6720,6720
1991,2,8020,8020
1991,3,8900,8900
1991,4,7890,7890
1991,5,8670,8670
1991,6,7930,7930
1991,7,7590,7590
1991,8,7360,7360
1991,9,7170,7170
1991,10,6780,6780
1991,11,6340,6340
1991,12,6260,6260
1992,1,6150,6150
1992,2,6370,6370
1992,3,6580,6580
1992,4,6930,6930
1992,5,7720,7720
1992,6,7720,7720
1992,7,7370,7370
1992,8,7780,7780
1992,9,8110,8110
1992,10,8140,8140
1992,11,8300,8300
1992,12,8360,8360
1993,1,7130,7130
1993,2,7560,7560
1993,3,8290,8290
1993,4,8340,8340
1993,5,10010,10010
